Μετρική,Τιμή
Βασικά_Χαρακτήρες,3339
Βασικά_Λέξεις,530
Βασικά_Προτάσεις,48
Βασικά_Παράγραφοι,18
Γλωσσικά_Λεξιλογική ποικιλία,52.5%
Γλωσσικά_Μ.Ο. μήκος πρότασης,11.0
Γλωσσικά_Αναγνωσιμότητα,97.4%
Αντιφάσεις_Λεξικές/Συντακτικές,6
Αντιφάσεις_Νοηματικές (σύνολο),0
Αντιφάσεις_Παράδοξα (τ₆),0
Αντιφάσεις_Ψευδής σταθερότητα (τ₇),0
Αντιφάσεις_Αιτιακές,1
Αντιφάσεις_Χρονικές,0
Αντιφάσεις_Με patterns,6
Αντιφάσεις_Σύνολο,7
XEPTQLRI_Αναλυτικός,0.0000
XEPTQLRI_Γρήγορος,6.23
XEPTQLRI_Μέση ένταση,3.5680
XEPTQLRI_Μέγιστη ένταση,5.9537
XEPTQLRI_Ενέργεια πεδίου,811.9515
34 Αρχές_Πλήρως υλοποιημένες,34/34
34 Αρχές_Μέση υλοποίηση,0.834
34 Αρχές_Brake Activations,5981
Συναισθηματική_Sentiment Score,85.29
Ποιότητα,ΕΞΑΙΡΕΤΙΚΗ
Σκορ,87.2%
