Μετρική,Τιμή
Βασικά_Χαρακτήρες,3414
Βασικά_Λέξεις,545
Βασικά_Προτάσεις,35
Βασικά_Παράγραφοι,15
Γλωσσικά_Λεξιλογική ποικιλία,55.2%
Γλωσσικά_Μ.Ο. μήκος πρότασης,15.6
Γλωσσικά_Αναγνωσιμότητα,86.1%
Αντιφάσεις_Λεξικές/Συντακτικές,8
Αντιφάσεις_Νοηματικές (σύνολο),0
Αντιφάσεις_Παράδοξα (τ₆),0
Αντιφάσεις_Ψευδής σταθερότητα (τ₇),0
Αντιφάσεις_Αιτιακές,0
Αντιφάσεις_Χρονικές,0
Αντιφάσεις_Με patterns,8
Αντιφάσεις_Σύνολο,8
XEPTQLRI_Αναλυτικός,0.0000
XEPTQLRI_Γρήγορος,8.32
XEPTQLRI_Μέση ένταση,2.7830
XEPTQLRI_Μέγιστη ένταση,5.5503
XEPTQLRI_Ενέργεια πεδίου,387.3940
34 Αρχές_Πλήρως υλοποιημένες,34/34
34 Αρχές_Μέση υλοποίηση,0.834
34 Αρχές_Brake Activations,5981
Συναισθηματική_Sentiment Score,85.29
Ποιότητα,ΕΞΑΙΡΕΤΙΚΗ
Σκορ,82.3%
