Αριθμός,Αρχή,Τιμή,Κατάσταση
1,Ύπαρξη (Being),0.79,✅
2,Μη Ύπαρξη (Non Being),0.75,✅
3,Γένεση (Becoming),0.86,✅
4,INRC Ομάδα,0.86,✅
5,Ασυμμετρία,0.84,✅
6,Μη-Αντιστρεψιμότητα,0.75,✅
7,Σχετική Σταθερότητα,0.82,✅
8,Ιστορική Μνήμη,0.77,✅
9,Άρνηση Άρνησης,0.72,✅
10,Μετα-λογική,0.88,✅
11,Δυναμική Ισορροπία,0.91,✅
12,Ανάλυση Συναισθήματος,0.89,✅
13,Ανίχνευση Παραδόξων,0.73,✅
14,Αντιφατική Σύνθεση,0.92,✅
15,Ενεργειακή Σταθερότητα,0.76,✅
16,Μηχανισμός Παρακολούθησης,0.86,✅
17,Ανάλυση Πολυπλοκότητας,0.82,✅
18,Εξελικτική Ανάλυση,0.84,✅
19,Ανάλυση Κινδύνου,0.8,✅
20,Παραδοξογενής Μετασχηματισμός,0.81,✅
21,Ιστορική Εξισορρόπηση,0.84,✅
22,Στρατηγική Πρόβλεψης,0.9,✅
23,Σύνθεση Ολότητας,0.93,✅
24,Υπολογισμός Διαλεκτικής,0.89,✅
25,Ανάλυση Συναισθηματικής,0.9,✅
26,Δυναμική Αντίδρασης,0.88,✅
27,Εντοπισμός Αδυναμιών,0.87,✅
28,Ανάλυση Κυκλικής Ισορροπίας,0.78,✅
29,Ψευδής Αντίφαση,0.87,✅
30,Πολιτισμική Σταθερότητα,0.86,✅
31,Αυτοματοποίηση Προβλημάτων,0.73,✅
32,Ανάλυση Συστήματος,0.87,✅
33,Υποστήριξη Εναλλακτικών,0.88,✅
34,Σταθερότητα Υψηλού Επιπέδου,0.78,✅
